Date,Open,High,Low,Close
2002-10-31,1.4765,1.5175,1.4737,1.478
2002-11-30,1.4766,1.492,1.439,1.4836
2002-12-31,1.4846,1.4976,1.3805,1.3814
2003-01-31,1.3817,1.408,1.346,1.3635
2003-02-28,1.3615,1.3788,1.3409,1.3528
2003-03-31,1.3542,1.4046,1.323,1.3534
2003-04-30,1.3512,1.4082,1.3506,1.3556
2003-05-31,1.3548,1.3592,1.2794,1.2973
2003-06-30,1.2995,1.3612,1.2943,1.3494
2003-07-31,1.3494,1.3941,1.3369,1.3698
2003-08-31,1.3698,1.4269,1.341,1.3993
2003-09-30,1.4001,1.4243,1.3104,1.3193
2003-10-31,1.3185,1.3447,1.3034,1.3397
2003-11-30,1.3399,1.38,1.2885,1.2914
2003-12-31,1.293,1.3037,1.2317,1.2387
2004-01-31,1.2423,1.2723,1.2142,1.2556
2004-02-29,1.256,1.2755,1.2187,1.2621
2004-03-31,1.2626,1.3074,1.2522,1.2655
2004-04-30,1.2656,1.3229,1.26,1.2945
2004-05-31,1.2942,1.3083,1.2426,1.2533
2004-06-30,1.2537,1.2702,1.2318,1.25
2004-07-31,1.2498,1.2839,1.2203,1.2811
2004-08-31,1.2738,1.2854,1.2375,1.2661
2004-09-30,1.2661,1.2788,1.2444,1.2459
2004-10-31,1.2459,1.2681,1.1924,1.1946
2004-11-30,1.1926,1.2122,1.1326,1.1402
2004-12-31,1.14,1.1682,1.1289,1.1401
2005-01-31,1.1392,1.197,1.1371,1.1879
2005-02-28,1.188,1.226,1.1572,1.1637
2005-03-31,1.1639,1.2083,1.1481,1.1961
2005-04-30,1.1963,1.2192,1.174,1.1951
2005-05-31,1.1959,1.2493,1.188,1.2473
2005-06-30,1.2474,1.2875,1.241,1.2818
2005-07-31,1.282,1.3079,1.2699,1.2884
2005-08-31,1.2889,1.2897,1.2433,1.253
2005-09-30,1.2529,1.2994,1.2237,1.2937
2005-10-31,1.2928,1.3073,1.2671,1.2904
2005-11-30,1.2897,1.3284,1.2759,1.3149
2005-12-31,1.3148,1.323,1.2775,1.3134
2006-01-31,1.3142,1.3159,1.2558,1.2787
2006-02-28,1.2792,1.3238,1.2772,1.3105
2006-03-31,1.3106,1.3227,1.2869,1.3032
2006-04-30,1.3035,1.3137,1.2374,1.2385
2006-05-31,1.2386,1.2448,1.1919,1.2175
2006-06-30,1.2176,1.2528,1.2016,1.2228
2006-07-31,1.223,1.2593,1.2194,1.2309
2006-08-31,1.2308,1.2445,1.2184,1.2313
2006-09-30,1.2311,1.2622,1.2275,1.2501
2006-10-31,1.2499,1.2769,1.2406,1.244
2006-11-30,1.2439,1.2577,1.1962,1.1981
2006-12-31,1.198,1.227,1.1882,1.219
2007-01-31,1.2181,1.2569,1.2111,1.2445
2007-02-28,1.2443,1.2549,1.2145,1.2189
2007-03-31,1.2188,1.2354,1.203,1.2153
2007-04-30,1.213,1.2283,1.1996,1.2073
2007-05-31,1.2073,1.233,1.2052,1.2252
2007-06-30,1.225,1.2467,1.2146,1.2215
2007-07-31,1.2206,1.223,1.1958,1.2006
2007-08-31,1.2004,1.2216,1.1815,1.2085
2007-09-30,1.2078,1.215,1.1624,1.1636
2007-10-31,1.1624,1.1892,1.1558,1.1586
2007-11-30,1.1587,1.1636,1.0897,1.1317
2007-12-31,1.1301,1.1593,1.1152,1.1323
2008-01-31,1.1331,1.1332,1.076,1.0819
2008-02-29,1.0822,1.1105,1.0401,1.0408
2008-03-31,1.0347,1.0452,0.9646,0.9948
2008-04-30,0.9946,1.0441,0.9888,1.035
2008-05-31,1.035,1.0619,1.0214,1.042
2008-06-30,1.0418,1.0538,1.0131,1.0207
2008-07-31,1.0209,1.0516,1.0014,1.0474
2008-08-31,1.0475,1.1085,1.0435,1.1013
2008-09-30,1.0985,1.1417,1.0697,1.1206
2008-10-31,1.1207,1.1748,1.1128,1.1583
2008-11-30,1.1555,1.2296,1.1474,1.213
2008-12-31,1.2145,1.2249,1.037,1.0689
2009-01-31,1.0649,1.1713,1.0613,1.1601
2009-02-28,1.1636,1.1883,1.1401,1.1697
2009-03-31,1.1717,1.1956,1.1163,1.1391
2009-04-30,1.1383,1.174,1.124,1.141
2009-05-31,1.1409,1.142,1.0656,1.0667
2009-06-30,1.0671,1.1021,1.0591,1.0858
2009-07-31,1.0857,1.0953,1.0623,1.0682
2009-08-31,1.0675,1.0882,1.0529,1.059
2009-09-30,1.0589,1.0703,1.019,1.0357
2009-10-31,1.0356,1.045,1.0033,1.0267
2009-11-30,1.0248,1.0337,0.9917,1.0051
2009-12-31,1.005,1.0506,0.9961,1.0349
